attribute,mean,max,min
bpol,37.53819147297991,247.965709,0.0
ATSm5,50.31195697941329,407.642377,0.0
MW,379.9551289598557,2446.198955,17.00274
apol,60.31796910344827,366.140291,1.468793
ATSc1,0.670655905301081,7.011197,0.0
nHBAcc,6.104477611940296,60.0,0.0
ATSm2,32.672087246011365,201.24035,0.0
TopoPSA,98.7252238805969,965.2,0.0
nB,28.099845599588285,176.0,0.0
ATSc5,-0.045691467833247554,3.054225,-3.357506
maccs_322_017,0.5141533710756562,1.0,0.0
ATSm4,52.56658392331438,378.682984,0.0
ATSm3,47.26650869274317,298.747967,0.0
maccs_322_035,0.5501801338136901,1.0,0.0
pattern_c88,0.6438497169325785,1.0,0.0
maccs_322_028,0.6438497169325785,1.0,0.0
ATSm1,34.544932859495624,254.960713,1.774469
pattern_c44,0.4781266083376222,1.0,0.0
maccs_322_027,0.7745753988677303,1.0,0.0
pattern_c86,0.7745753988677303,1.0,0.0
nHBDon,2.6762738033968088,34.0,0.0
AMR,99.00820895522381,512.0106,0.0
pubchem_f340,0.37519300051466803,1.0,0.0
maccs_k146,0.5383427689140504,1.0,0.0
maccs_k132,0.5692228512609367,1.0,0.0
maccs_322_257,0.564076170869789,1.0,0.0
maccs_322_034,0.6376737004632013,1.0,0.0
pattern_c34,0.6376737004632013,1.0,0.0
pattern_c89,0.6376737004632013,1.0,0.0
maccs_k155,0.8327328872876995,1.0,0.0
pubchem_f003,0.6320123520329387,1.0,0.0
maccs_322_044,0.6654657745753989,1.0,0.0
maccs_k126,0.7102418939783839,1.0,0.0
pubchem_f572,0.3319608852290273,1.0,0.0
maccs_322_061,0.7261966031909418,1.0,0.0
pubchem_f353,0.8548636129696345,1.0,0.0
maccs_322_059,0.8841996911991765,1.0,0.0
co_single_bond,0.7606793618116315,1.0,0.0
maccs_k157,0.7606793618116315,1.0,0.0
maccs_k140,0.3906330416881112,1.0,0.0
pubchem_f021,0.3906330416881112,1.0,0.0
pubchem_f347,0.5306227483273289,1.0,0.0
nRotB,7.422542460113229,81.0,0.0
pubchem_f407,0.5481214616572311,1.0,0.0
hydroxyl,0.5481214616572311,1.0,0.0
maccs_k139,0.5589294904786413,1.0,0.0
pubchem_f309,0.5589294904786413,1.0,0.0
ATSc2,-0.30288310808028773,0.005913,-3.619953
MLogP,2.8914153371075653,7.4,-2.06
pubchem_f618,0.5187853834276891,1.0,0.0
aliphatic alcohol,0.30159547092125577,1.0,0.0
secondary alcohol,0.3000514668039115,1.0,0.0
maccs_k128,0.5393721049922799,1.0,0.0
pubchem_f287,0.8677303139475039,1.0,0.0
pubchem_f638,0.7081832218219248,1.0,0.0
carbonyl,0.5558414822439527,1.0,0.0
maccs_k131,0.4498198661863098,1.0,0.0
maccs_k091,0.45393721049922797,1.0,0.0
maccs_k112,0.901183736489964,1.0,0.0
pubchem_f020,0.7390633041688112,1.0,0.0
maccs_k159,0.7390633041688112,1.0,0.0
pubchem_f336,0.35254760679361813,1.0,0.0
pattern_c38,0.613484302624807,1.0,0.0
_13-tautomerizable,0.613484302624807,1.0,0.0
maccs_k090,0.45496654657745755,1.0,0.0
pubchem_f002,0.8553782810087494,1.0,0.0
sat_carb_r6,0.2285126093669583,1.0,0.0
maccs_322_008,0.8507462686567164,1.0,0.0
pubchem_f681,0.6726711271230057,1.0,0.0
maccs_322_011,0.9418425115800309,1.0,0.0
maccs_322_007,0.6685537828100875,1.0,0.0
maccs_k066,0.4251158003088008,1.0,0.0
XLogP,2.4020627895007713,23.399,-19.634
maccs_k104,0.43540916109109623,1.0,0.0
maccs_322_043,0.8116314976839938,1.0,0.0
C ONS bond,0.9588265568708183,1.0,0.0
pubchem_f367,0.6145136387030365,1.0,0.0
pubchem_f012,0.876479670612455,1.0,0.0
pattern_c16,0.2676273803396809,1.0,0.0
maccs_k129,0.5409161091096243,1.0,0.0
maccs_322_013,0.2290272774060731,1.0,0.0
maccs_322_127,0.5779722079258878,1.0,0.0
pubchem_f013,0.5548121461657232,1.0,0.0
maccs_k054,0.25424601132269686,1.0,0.0
maccs_322_051,0.3355635615028307,1.0,0.0
pubchem_f682,0.23314462171899125,1.0,0.0
pubchem_f019,0.8924343798250128,1.0,0.0
maccs_k164,0.8924343798250128,1.0,0.0
oxygen_atom,0.8924343798250128,1.0,0.0
maccs_k152,0.6402470406587751,1.0,0.0
pubchem_f342,0.6402470406587751,1.0,0.0
maccs_322_259,0.2676273803396809,1.0,0.0
pubchem_f381,0.435923829130211,1.0,0.0
maccs_k123,0.435923829130211,1.0,0.0
pubchem_f001,0.8924343798250128,1.0,0.0
ATSc4,0.04624536901698404,2.436468,-3.204807
maccs_k050,0.21564590838908904,1.0,0.0
pattern_c111,0.27020072053525473,1.0,0.0
maccs_k136,0.31806484817292846,1.0,0.0
pubchem_f335,0.22285126093669583,1.0,0.0
pattern_c6,0.25064333504889347,1.0,0.0
pubchem_f712,0.22233659289758106,1.0,0.0
maccs_k147,0.5892949047864128,1.0,0.0
maccs_k118,0.588780236747298,1.0,0.0
primary alcohol,0.14822439526505404,1.0,0.0
pubchem_f444,0.6217189912506433,1.0,0.0
pubchem_f664,0.22645393721049922,1.0,0.0
maccs_322_004,0.9871332990221308,1.0,0.0
pattern_c8,0.9701492537313433,1.0,0.0
maccs_322_016,0.9701492537313433,1.0,0.0
maccs_k108,0.47658260422027793,1.0,0.0
